Model,version,price
Apple iPhone 6,1,"29,999"
Apple iPhone 6S,1,"34,999"
Apple iPhone 6S Plus ,1,44999
Apple iPhone SE,2,"36,990"
Apple iPhone 7,2,"43,999"
Apple iPhone 7 Plus,2,"47,999"
Apple iPhone 8 ,3,"64,999"
Apple iPhone 8 Plus,3,"84,000"
Apple iPhone X ,4,"84,999"
Apple iPhone XR,4,"85,000"
Apple iPhone XS ,4,"90,000"
Apple iPhone XS Max ,4,"97,990"
Apple iPhone 11,5,"93,999"
Apple iPhone 11 Pro,5,"114,999"
Apple iPhone 11 Pro Max,5,"129,999"
Apple iPhone SE 2020,6,"57,990"
Apple iPhone 12 Mini,7,"109,999"
Apple iPhone 12,7,"124,999"
Apple iPhone 12Pro,7,"146,999"
Apple iPhone 12 Pro Max,7,"161,999"
Apple iPhone 13 Mini,8,"103,999"
Apple iPhone 13,8,"118,999"
Apple iPhone 13 Pro,8,"147,999"
Apple iPhone 13 Pro Max,8,"162,999"
